brand,model,post_count
ford,d,373
ford,se,309
ford,el,272
ford,dr,142
bmw,m,125
audi,5,62
ford,van,42
hyundai,elantra,40
honda,van,35
nissan,rogue,30
jeep,cherokee,30
nissan,altima,30
ford,focus,29
nissan,sentra,27
ford,escape,27
ford,fusion,27
honda,door,25
ford,ranger,23
chevrolet,ld,22
dodge,van,21
ford,mustang,21
ford,edge,21
dodge,charger,20
ram,door,18
ford,explorer,18
ford,hybrid,18
ford,fiesta,17
kia,soul,16
ford,f-150,16
bmw,series,15
ford,connect,15
ford,door,15
kia,sportage,15
kia,sorento,14
jeep,compass,13
nissan,pathfinder,13
nissan,sport,12
ford,max,12
ford,taurus,12
ford,cab,11
nissan,versa,11
dodge,caravan,10
nissan,murano,10
ford,bus,10
hyundai,door,10
mazda,cx-3,10
toyota,cruiser,9
kia,forte,9
mazda,door,9
chrysler,van,9
acura,mdx,8
ford,expedition,8
nissan,door,8
chevrolet,vehicl,8
bmw,x3,8
buick,encore,8
ford,suv,8
audi,q5,7
kia,door,7
dodge,challenger,7
chrysler,300,7
nissan,kicks,7
chrysler,pacifica,7
buick,enclave,7
chevrolet,van,6
land,sport,6
ford,flex,6
gmc,1500,5
nissan,armada,5
nissan,frontier,5
dodge,durango,5
bmw,coupe,5
nissan,xterra,5
nissan,maxima,5
nissan,juke,5
chevrolet,impala,5
nissan,sedan,5
chevrolet,equinox,4
chevrolet,1500,4
lexus,gx,4
buick,door,4
ford,pickup,4
nissan,note,4
nissan,titan,4
chevrolet,spark,4
nissan,cab,4
ford,transit,4
dodge,journey,4
gmc,acadia,4
chrysler,door,3
bmw,door,3
honda,doors,3
chevrolet,sonic,3
audi,door,3
chevrolet,malibu,2
mercedes-benz,glc,2
chevrolet,2500,2
chevrolet,pickup,2
chevrolet,passenger,2
chevrolet,colorado,2
lincoln,door,2
jeep,door,2
nissan,doors,2
ford,wagon,2
ford,cargo,2
gmc,cab,2
ford,doors,2
ford,convertible,2
dodge,door,2
lincoln,nautilus,2
hyundai,doors,2
ford,ecosport,1
chevrolet,cruze,1
dodge,dart,1
dodge,coupe,1
chevrolet,suburban,1
nissan,cargo,1
dodge,pickup,1
mercedes-benz,vans,1
kia,wagon,1
chevrolet,cab,1
chevrolet,corvette,1
maserati,ghibli,1
gmc,door,1
acura,door,1
chrysler,doors,1
chevrolet,door,1
ford,pk,1
cadillac,srx,1
cadillac,door,1
ford,energi,1
chevrolet,trax,1
chevrolet,traverse,1
cadillac,xt5,1
cadillac,coupe,1
chevrolet,camaro,1
